duration   no.users 
0	
1	5
2	69
3	58
4	43
5	45
6	53
7	48
8	36
9	47
10	36
11	28
12	35
13	39
14	31
15	23
16	23
17	31
18	20
19	40
20	25
21	31
22	30
23	26
24	14
25	28
26	26
27	23
28	21
29	18
30	35
31	21
32	20
33	19
34	21
35	26
36	16
37	16
38	15
39	15
40	23
41	26
42	22
43	21
44	18
45	15
46	15
47	29
48	24
49	21
50	20
51	18
52	16
53	12
54	12
55	14
56	16
57	15
58	3
59	6
60	4
61	4
62	3
63	6
64	6
65	6
66	7
67	2
68	7
69	3
70	5
71	7
72	5
73	8
74	2
75	5
76	6
77	5
78	3
79	4
80	1
81	3
82	3
83	4
84	7
85	2
86	3
87	1
