day  no.users  no.new    no.converted 
0	33	11	10
1	81	27	19
2	90	30	17
3	114	32	17
4	120	30	18
5	102	26	14
6	102	16	6
7	72	11	4
8	108	18	10
9	54	12	4
10	102	24	14
11	138	28	20
12	138	22	15
13	132	31	18
14	147	29	16
15	138	27	18
16	96	19	8
17	105	20	12
18	156	21	11
19	165	22	16
20	183	22	10
21	189	22	9
22	192	27	18
23	120	9	7
24	357	82	44
25	66	15	7
30	69	16	11
31	633	173	93
32	486	117	66
33	486	106	62
34	426	79	54
35	417	68	44
36	462	81	50
37	345	65	40
38	327	55	28
39	537	58	34
40	423	63	36
41	495	78	49
42	432	54	32
43	423	53	32
44	306	44	24
45	297	35	13
46	465	54	30
47	426	53	23
48	396	51	34
49	495	54	28
50	399	42	26
51	315	49	17
52	237	35	20
53	438	37	23
54	477	57	33
55	345	39	22
56	510	58	33
57	435	58	34
58	288	46	25
59	288	38	21
60	570	48	21
61	552	56	27
62	417	53	35
63	495	37	21
64	435	51	21
65	336	39	25
66	333	35	17
67	594	43	22
68	459	40	30
69	447	43	25
70	528	47	23
71	450	51	26
72	336	32	22
73	348	42	29
74	582	43	27
75	555	45	26
76	522	58	31
77	570	50	26
78	555	58	28
79	369	37	20
80	366	37	20
81	675	49	34
82	726	69	43
83	606	51	26
84	621	58	28
85	555	45	22
86	414	44	23
87	432	35	18
88	1077	121	62
89	1113	148	78
90	876	84	44
91	1038	132	57
92	1026	111	62
93	546	63	36
94	561	67	33
95	924	75	38
96	981	75	35
97	870	74	41
98	924	64	38
99	825	53	32
100	495	46	24
101	600	57	33
102	990	70	36
103	987	72	36
104	924	64	29
105	909	66	41
106	921	81	42
107	576	48	22
108	567	42	21
109	1065	64	33
110	1107	124	59
111	957	77	42
112	906	62	36
113	927	87	47
114	627	48	32
115	612	55	31
116	1257	75	39
117	1062	84	46
118	1413	176	83
119	1812	261	98
120	1842	302	119
121	1182	195	67
122	1200	152	64
123	1521	136	57
124	1386	110	50
125	1194	92	41
126	1308	67	30
127	1272	87	47
128	675	55	32
129	873	55	27
130	1449	85	44
131	1299	69	43
132	1152	98	49
133	1290	77	35
134	1131	58	30
135	846	53	22
136	813	52	21
137	1398	53	28
138	1239	58	18
139	1095	76	27
140	1395	77	35
141	1158	58	33
142	783	52	18
143	912	53	27
144	1488	66	25
145	1299	84	35
146	1155	62	24
147	1404	92	44
148	1101	86	42
149	723	55	25
150	876	76	36
151	1410	81	32
152	1533	125	53
153	1341	102	46
154	1431	70	31
155	1395	79	24
156	906	64	28
157	1227	149	51
158	1944	188	85
159	1653	163	49
160	1458	110	38
161	1461	97	32
162	1365	96	42
163	942	81	37
164	987	75	28
165	1707	84	22
166	1401	86	24
167	1305	95	42
168	1650	95	38
169	1194	62	18
170	867	62	26
171	1263	122	31
172	2004	127	35
173	1593	130	33
174	1284	93	31
175	1164	80	24
176	1152	87	29
177	795	58	18
178	987	60	26
179	1737	76	22
180	1494	81	18
181	1524	66	18
182	1545	83	22
183	1671	124	15
184	1488	156	36
185	1587	160	43
186	2304	143	30
187	1995	105	23
188	1890	110	19
189	1824	97	9
190	1632	82	0
191	1284	80	0
192	1239	81	0
193	2097	118	0
194	1815	99	0
195	1791	109	0
196	1845	98	0
197	1575	87	0
198	1107	63	0
199	1197	58	0
200	1797	83	0
